games_year,games_city,games_season,games_label,sport,event,athlete_name,athlete_url,placement,medal,team_name,team_members
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"100 metres, Men",Tom Burke,https://www.olympedia.org/athletes/78175,1,Gold,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"100 metres, Men",Frank Lane,https://www.olympedia.org/athletes/78676,=3,Bronze,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"100 metres, Men",Tom Curtis,https://www.olympedia.org/athletes/78290,1 h2 r1/2,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"100 metres, Men",Ralph Derr,https://www.olympedia.org/athletes/922412,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"100 metres, Men",Charles Vanoni,https://www.olympedia.org/athletes/891621,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"400 metres, Men",Tom Burke,https://www.olympedia.org/athletes/78175,1,Gold,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"400 metres, Men",Herbert Jamison,https://www.olympedia.org/athletes/78596,2,Silver,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"800 metres, Men",Tom Burke,https://www.olympedia.org/athletes/78175,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"1,500 metres, Men",Arthur C. Blake,https://www.olympedia.org/athletes/78121,2,Silver,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"Marathon, Men",Arthur C. Blake,https://www.olympedia.org/athletes/78121,DNF,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"110 metres Hurdles, Men",Tom Curtis,https://www.olympedia.org/athletes/78290,1,Gold,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"110 metres Hurdles, Men",Bill Hoyt,https://www.olympedia.org/athletes/78578,2 h2 r1/2,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"110 metres Hurdles, Men",Fred Lord,https://www.olympedia.org/athletes/922414,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"110 metres Hurdles, Men",James B. Connolly,https://www.olympedia.org/athletes/78257,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"110 metres Hurdles, Men",Charles Vanoni,https://www.olympedia.org/athletes/891621,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"High Jump, Men",Ellery Clark,https://www.olympedia.org/athletes/78231,1,Gold,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"High Jump, Men",Bob Garrett,https://www.olympedia.org/athletes/78439,=2,Silver,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"High Jump, Men",James B. Connolly,https://www.olympedia.org/athletes/78257,=2,Silver,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"High Jump, Men",J. Stanley Edwards,https://www.olympedia.org/athletes/922413,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"Pole Vault, Men",Bill Hoyt,https://www.olympedia.org/athletes/78578,1,Gold,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"Pole Vault, Men",Albert Tyler,https://www.olympedia.org/athletes/79145,2,Silver,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"Pole Vault, Men",Charles Vanoni,https://www.olympedia.org/athletes/891621,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"Long Jump, Men",Ellery Clark,https://www.olympedia.org/athletes/78231,1,Gold,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"Long Jump, Men",Bob Garrett,https://www.olympedia.org/athletes/78439,2,Silver,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"Long Jump, Men",James B. Connolly,https://www.olympedia.org/athletes/78257,3,Bronze,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"Long Jump, Men",Ralph Derr,https://www.olympedia.org/athletes/922412,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"Long Jump, Men",Tom Curtis,https://www.olympedia.org/athletes/78290,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"Triple Jump, Men",James B. Connolly,https://www.olympedia.org/athletes/78257,1,Gold,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"Shot Put, Men",Bob Garrett,https://www.olympedia.org/athletes/78439,1,Gold,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"Shot Put, Men",Ellery Clark,https://www.olympedia.org/athletes/78231,AC,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"Shot Put, Men",Charles Vanoni,https://www.olympedia.org/athletes/891621,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"Discus Throw, Men",Bob Garrett,https://www.olympedia.org/athletes/78439,1,Gold,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Athletics,"Discus Throw, Men",Charles Vanoni,https://www.olympedia.org/athletes/891621,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Cycling Road,"Road Race, Individual, Men",A. Johnson,https://www.olympedia.org/athletes/2303302,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Cycling Road,"Road Race, Individual, Men",B. MacDonald,https://www.olympedia.org/athletes/2303304,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Fencing,"Foil, Individual, Men",Fred Hellen,https://www.olympedia.org/athletes/2303655,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Fencing,"Sabre, Individual, Men",Albertson Van Zo Post,https://www.olympedia.org/athletes/23813,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Shooting,"Free Pistol, 30 metres, Men",Sumner Paine,https://www.olympedia.org/athletes/44732,1,Gold,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Shooting,"Free Pistol, 30 metres, Men",Charles Waldstein,https://www.olympedia.org/athletes/44788,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Shooting,"Military Pistol, 25 metres, Men",John Paine,https://www.olympedia.org/athletes/44731,1,Gold,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Shooting,"Military Pistol, 25 metres, Men",Sumner Paine,https://www.olympedia.org/athletes/44732,2,Silver,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Shooting,"Military Pistol, 25 metres, Men",Charles Waldstein,https://www.olympedia.org/athletes/44788,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Shooting,"Muzzle-Loading Pistol, 25 metres, Men",Charles Waldstein,https://www.olympedia.org/athletes/44788,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Shooting,"Free Rifle, Any Position, 300 metres, Men",Charles Waldstein,https://www.olympedia.org/athletes/44788,DNS,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Shooting,"Military Rifle, 200 metres, Men",Charles Waldstein,https://www.olympedia.org/athletes/44788,AC,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Swimming,"100 metres Freestyle, Men",Gardner Williams,https://www.olympedia.org/athletes/51616,AC,,,
1896,Athens,Summer,1896 Summer Olympics (Athens),Swimming,"1,200 metres Freestyle, Men",Gardner Williams,https://www.olympedia.org/athletes/51616,AC,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"60 metres, Men",Al Kraenzlein,https://www.olympedia.org/athletes/78667,1,Gold,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"60 metres, Men",Walter Tewksbury,https://www.olympedia.org/athletes/79119,2,Silver,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"60 metres, Men",Edmund Minahan,https://www.olympedia.org/athletes/78797,4,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"60 metres, Men",Bill Holland,https://www.olympedia.org/athletes/78564,3 h2 r1/2,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"100 metres, Men",Frank Jarvis,https://www.olympedia.org/athletes/78599,1,Gold,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"100 metres, Men",Walter Tewksbury,https://www.olympedia.org/athletes/79119,2,Silver,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"100 metres, Men",Arthur Duffey,https://www.olympedia.org/athletes/78345,AC r3/3,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"100 metres, Men",Clark Leiblee,https://www.olympedia.org/athletes/78689,3 h4 r2/3,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"100 metres, Men",Dixon Boardman,https://www.olympedia.org/athletes/78124,4 h1 r2/3,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"100 metres, Men",Edmund Minahan,https://www.olympedia.org/athletes/78797,4 h3 r2/3,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"100 metres, Men",Charles Burroughs,https://www.olympedia.org/athletes/78179,AC h4 r2/3,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"100 metres, Men",Fred Moloney,https://www.olympedia.org/athletes/78800,AC h4 r2/3,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"100 metres, Men",Thaddeus McClain,https://www.olympedia.org/athletes/78755,AC h4 r2/3,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"100 metres, Men",Henry Slack,https://www.olympedia.org/athletes/79049,3 h6 r1/3,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"100 metres, Men",Justus Scrafford,https://www.olympedia.org/athletes/79012,DNS,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"100 metres, Men",Albert Witbeck,https://www.olympedia.org/athletes/891679,DNS,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"100 metres, Men",Al Kraenzlein,https://www.olympedia.org/athletes/78667,DNS,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"100 metres, Men",Maxey Long,https://www.olympedia.org/athletes/78711,DNS,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"100 metres, Men",Pierre Hamont,https://www.olympedia.org/athletes/922415,DNS,,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"200 metres, Men",Walter Tewksbury,https://www.olympedia.org/athletes/79119,1,Gold,,
1900,Paris,Summer,1900 Summer Olympics (Paris),Athletics,"200 metres, Men",Bill Holland,https://www.olympedia.org/athletes/78564,4,,,
